N,alpha_raw,alpha,rules_raw,mean_p,sd_p
1000,0,0,0,0.5247465802264866,0.211285904398684
1000,0p25,0.25,0,0.4008038066649763,0.1574504751944021
1000,0p5,0.5,0,0.3513759830495017,0.1135466296945472
1000,0p75,0.75,0,0.33696085306703577,0.08501878465258576
1000,1,1,0,0.33480859927834944,0.07189413997322834
1000,0,0,0-1-2,0.5174758744632616,0.22908731839580157
1000,0p25,0.25,0-1-2,0.4555411050086282,0.1840867984074403
1000,0p5,0.5,0-1-2,0.38955735570716205,0.15644905062009332
1000,0p75,0.75,0-1-2,0.3653279286490241,0.11950141435121148
1000,1,1,0-1-2,0.35321525631839873,0.1063420054811738
1000,0,0,0-1-2-3,0.5567234438152192,0.2375243810982395
1000,0p25,0.25,0-1-2-3,0.5501296352160233,0.23606870502775845
1000,0p5,0.5,0-1-2-3,0.53043648575461,0.2332102137631303
1000,0p75,0.75,0-1-2-3,0.5173261208111164,0.2225751077625329
1000,1,1,0-1-2-3,0.5036437867234251,0.21987697748795332
1000,0,0,0-2,0.5104757824331825,0.2338141390172271
1000,0p25,0.25,0-2,0.41408470918645385,0.16736361598975194
1000,0p5,0.5,0-2,0.35138555021984036,0.11738504767227555
1000,0p75,0.75,0-2,0.3415918551774556,0.08667837344534372
1000,1,1,0-2,0.3240418338493211,0.07756065823021914
1000,0,0,0-3,0.549824022537733,0.25246597687303474
1000,0p25,0.25,0-3,0.5597272319307411,0.2537309898340097
1000,0p5,0.5,0-3,0.5436521708942251,0.24596217001560763
1000,0p75,0.75,0-3,0.5380313058398362,0.23983641783685236
1000,1,1,0-3,0.5284709696986247,0.2387014257416499
1000,0,0,1-2,0.5119232477387018,0.21806437527138883
1000,0p25,0.25,1-2,0.5031032688519009,0.18959451254051518
1000,0p5,0.5,1-2,0.4491638577285735,0.17985657570889116
1000,0p75,0.75,1-2,0.4214450011456059,0.14810067715877262
1000,1,1,1-2,0.3937236145896907,0.139551391632642
1000,0,0,3,0.634513056952646,0.2452741793668661
1000,0p25,0.25,3,0.6490083125280822,0.25380428185564263
1000,0p5,0.5,3,0.6555307229125243,0.25803259771640696
1000,0p75,0.75,3,0.6578582034547906,0.26024267918477195
1000,1,1,3,0.6595596472035186,0.2610825644738189
